"TrueMean","PriorMean","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
1,-1,0.1,2,0,0,1.986,1.858,0.986,0.858,0.973,0.735
1,-1,0.1,2,0,1,0.649,2.074,-0.351,1.074,0.123,1.153
1,-1,0.1,2,1,0,2.59,1.754,1.59,0.754,2.528,0.568
1,-1,0.1,2,1,1,0.492,2.529,-0.508,1.529,0.258,2.339
1,-1,1,1,0,0,0.828,0.614,-0.172,-0.386,0.03,0.149
1,-1,1,1,0,1,-0.136,0.577,-1.136,-0.423,1.29,0.179
1,-1,1,1,1,0,1.523,0.51,0.523,-0.49,0.274,0.24
1,-1,1,1,1,1,-1.231,0.355,-2.231,-0.645,4.979,0.416
1,-1,1,2,0,0,0.789,0.771,-0.211,-0.229,0.045,0.052
1,-1,1,2,0,1,-0.576,0.6,-1.576,-0.4,2.484,0.16
1,-1,1,2,1,0,-0.906,0.608,-1.906,-0.392,3.631,0.154
1,-1,1,2,1,1,-1.556,0.467,-2.556,-0.533,6.532,0.284
1,0,0.1,1,0,0,0.999,0.966,-0.001,-0.034,0,0.001
1,0,0.1,1,0,1,0.343,1.085,-0.657,0.085,0.432,0.007
1,0,0.1,1,1,0,1.634,0.832,0.634,-0.168,0.402,0.028
1,0,0.1,1,1,1,0.204,1.6,-0.796,0.6,0.634,0.36
1,0,0.1,2,0,0,1.994,1.855,0.994,0.855,0.988,0.731
1,0,0.1,2,0,1,0.658,2.076,-0.342,1.076,0.117,1.158
1,0,0.1,2,1,0,2.593,1.747,1.593,0.747,2.537,0.559
1,0,0.1,2,1,1,0.5,2.526,-0.5,1.526,0.25,2.328
1,0,1,1,0,0,0.912,0.606,-0.088,-0.394,0.008,0.155
1,0,1,1,0,1,-0.061,0.601,-1.061,-0.399,1.126,0.159
1,0,1,1,1,0,1.615,0.441,0.615,-0.559,0.378,0.312
1,0,1,1,1,1,-0.3,0.412,-1.3,-0.588,1.69,0.346
1,0,1,2,0,0,1.183,0.755,0.183,-0.245,0.033,0.06
1,0,1,2,0,1,-0.468,0.615,-1.468,-0.385,2.154,0.148
1,0,1,2,1,0,1.717,0.648,0.717,-0.352,0.514,0.124
1,0,1,2,1,1,-0.693,0.512,-1.693,-0.488,2.867,0.238
1,1,0.1,1,0,0,1.002,0.965,0.002,-0.035,0,0.001
1,1,0.1,1,0,1,0.346,1.087,-0.654,0.087,0.428,0.008
1,1,0.1,1,1,0,1.635,0.829,0.635,-0.171,0.404,0.029
1,1,0.1,1,1,1,0.204,1.599,-0.796,0.599,0.633,0.359
1,1,0.1,2,0,0,1.996,1.853,0.996,0.853,0.992,0.728
1,1,0.1,2,0,1,0.658,2.074,-0.342,1.074,0.117,1.153
1,1,0.1,2,1,0,2.594,1.75,1.594,0.75,2.542,0.563
1,1,0.1,2,1,1,0.501,2.526,-0.499,1.526,0.249,2.329
1,1,1,1,0,0,1.005,0.603,0.005,-0.397,0,0.158
1,1,1,1,0,1,0.115,0.659,-0.885,-0.341,0.783,0.117
1,1,1,1,1,0,1.631,0.44,0.631,-0.56,0.399,0.313
1,1,1,1,1,1,1.451,0.491,0.451,-0.509,0.203,0.259
1,1,1,2,0,0,1.595,0.744,0.595,-0.256,0.354,0.066
1,1,1,2,0,1,0.072,0.724,-0.928,-0.276,0.862,0.076
1,1,1,2,1,0,2.238,0.655,1.238,-0.345,1.532,0.119
1,1,1,2,1,1,2.007,0.654,1.007,-0.346,1.013,0.12
